sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score
18	睡觉	True		太累了，他睡了一个好觉。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉	了ASPECT一NUM个CLF好MOD	了:ASPECT+一:NUM+个:CLF+好:MOD	ASPECT_QUANT		1.0
19	做饭	True		今天妈妈做了一顿丰盛的晚饭。	做饭	Verb-Object	SPLIT	做	饭	做饭+Lemma+Verb-Object+SPLIT+Head:做+Tail:饭	了ASPECT一NUM顿CLF丰MOD盛MOD的DE晚	了:ASPECT+一:NUM+顿:CLF+丰:MOD+盛:MOD+的:DE	ASPECT_QUANT		0.8571428571428571
20	打球	True		周末约朋友去打了一场球。	打球	Verb-Object	SPLIT	打	球	打球+Lemma+Verb-Object+SPLIT+Head:打+Tail:球	了ASPECT一NUM场CLF	了:ASPECT+一:NUM+场:CLF	ASPECT_QUANT		1.0
21	抽烟	True		压力大的时候他抽了一根烟。	抽烟	Verb-Object	SPLIT	抽	烟	抽烟+Lemma+Verb-Object+SPLIT+Head:抽+Tail:烟	了ASPECT一NUM根CLF	了:ASPECT+一:NUM+根:CLF	ASPECT_QUANT		1.0
22	见面	True		我们虽然同城，但也只见过一面。	见面	Verb-Object	SPLIT	见	面	见面+Lemma+Verb-Object+SPLIT+Head:见+Tail:面	过ASPECT一NUM	过:ASPECT+一:NUM	ASPECT		1.0
23	帮忙	True		你真是帮了我一个大忙。	帮忙	Verb-Object	SPLIT	帮	忙	帮忙+Lemma+Verb-Object+SPLIT+Head:帮+Tail:忙	了ASPECT我PRO一NUM个CLF大MOD	了:ASPECT+我:PRO+一:NUM+个:CLF+大:MOD	ASPECT_QUANT		1.0
24	聊天	True		和老朋友聊了一整天。	聊天	Verb-Object	SPLIT	聊	天	聊天+Lemma+Verb-Object+SPLIT+Head:聊+Tail:天	了ASPECT一NUM整MOD	了:ASPECT+一:NUM+整:MOD	ASPECT		1.0
25	说话	True		请你帮我说两句好话。	说话	Verb-Object	SPLIT	说	话	说话+Lemma+Verb-Object+SPLIT+Head:说+Tail:话	两NUM句CLF好MOD	两:NUM+句:CLF+好:MOD	QUANTIFIER		1.0
26	吵架	True		因为一点小事，他们吵了一架。	吵架	Verb-Object	SPLIT	吵	架	吵架+Lemma+Verb-Object+SPLIT+Head:吵+Tail:架	了ASPECT一NUM	了:ASPECT+一:NUM	ASPECT		1.0
27	打架	True		两只猫在屋顶上打了一架。	打架	Verb-Object	SPLIT	打	架	打架+Lemma+Verb-Object+SPLIT+Head:打+Tail:架	了ASPECT一NUM	了:ASPECT+一:NUM	ASPECT		1.0
28	打仗	True		俄罗斯和乌克兰还要打多久的仗呢？	打仗	Verb-Object	SPLIT	打	仗	打仗+Lemma+Verb-Object+SPLIT+Head:打+Tail:仗	多MOD久MOD的DE	多:MOD+久:MOD+的:DE	MODIFIER_DE		1.0
29	生气	True		别再生他的气了。	生气	Verb-Object	SPLIT	生	气	生气+Lemma+Verb-Object+SPLIT+Head:生+Tail:气	他PRO的DE	他:PRO+的:DE	PRONOUN_DE		1.0
30	发火	True		领导在会上发了一通火。	发火	Verb-Object	SPLIT	发	火	发火+Lemma+Verb-Object+SPLIT+Head:发+Tail:火	了ASPECT一NUM通CLF	了:ASPECT+一:NUM+通:CLF	ASPECT_QUANT		1.0
31	道歉	True		做错事就该给人家道一个歉。	道歉	Verb-Object	SPLIT	道	歉	道歉+Lemma+Verb-Object+SPLIT+Head:道+Tail:歉	一NUM个CLF	一:NUM+个:CLF	QUANTIFIER		1.0
32	道谢	True		临走时，他特意向主人道了一声谢。	道谢	Verb-Object	SPLIT	道	谢	道谢+Lemma+Verb-Object+SPLIT+Head:道+Tail:谢	了ASPECT一NUM声CLF	了:ASPECT+一:NUM+声:CLF	ASPECT_QUANT		1.0
33	拜年	True		大年初一去给长辈拜个年。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年	个CLF	个:CLF	QUANTIFIER		1.0
34	握手	True		大家互相握了一下手。	握手	Verb-Object	SPLIT	握	手	握手+Lemma+Verb-Object+SPLIT+Head:握+Tail:手	了ASPECT一NUM下CLF	了:ASPECT+一:NUM+下:CLF	ASPECT_QUANT		1.0
35	捣乱	True		别在他工作的时候捣他的乱。	捣乱	Verb-Object	SPLIT	捣	乱	捣乱+Lemma+Verb-Object+SPLIT+Head:捣+Tail:乱	他PRO的DE	他:PRO+的:DE	PRONOUN_DE		1.0
36	开玩笑	True		我只是跟你开了一个玩笑。	开玩笑	Verb-Object	SPLIT	开	玩笑	开玩笑+Lemma+Verb-Object+SPLIT+Head:开+Tail:玩笑	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0
37	撒谎	True		他脸红了，显然是撒了一个谎。	撒谎	Verb-Object	SPLIT	撒	谎	撒谎+Lemma+Verb-Object+SPLIT+Head:撒+Tail:谎	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0
38	吹牛	True		别听他瞎说，他又在吹牛。	吹牛	Verb-Object	WHOLE	吹	牛	吹牛+Lemma+Verb-Object+WHOLE+Head:吹+Tail:牛			EMPTY		0.5
39	告状	True		他去老师那里告了你一状。	告状	Verb-Object	SPLIT	告	状	告状+Lemma+Verb-Object+SPLIT+Head:告+Tail:状	了ASPECT你PRO一NUM	了:ASPECT+你:PRO+一:NUM	ASPECT		1.0
40	请客	True		为了庆祝升职，他请了一次客。	请客	Verb-Object	SPLIT	请	客	请客+Lemma+Verb-Object+SPLIT+Head:请+Tail:客	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
42	离婚	True		听说邻居离了两次婚。	离婚	Verb-Object	SPLIT	离	婚	离婚+Lemma+Verb-Object+SPLIT+Head:离+Tail:婚	了ASPECT两NUM次CLF	了:ASPECT+两:NUM+次:CLF	ASPECT_QUANT		1.0
43	订婚	True		他们刚刚订完婚。	订婚	Verb-Object	SPLIT	订	婚	订婚+Lemma+Verb-Object+SPLIT+Head:订+Tail:婚	完RES	完:RES	RESULTATIVE		1.0
44	谈恋爱	True		大学期间谈了一场轰轰烈烈的恋爱。	谈恋爱	Verb-Object	SPLIT	谈	恋爱	谈恋爱+Lemma+Verb-Object+SPLIT+Head:谈+Tail:恋爱	了ASPECT一NUM场CLF轰轰烈MOD烈MOD的DE	了:ASPECT+一:NUM+场:CLF+烈:MOD+烈:MOD+的:DE	ASPECT_QUANT		0.75
45	分手	True		因为性格不合，他们分了一次手。	分手	Verb-Object	SPLIT	分	手	分手+Lemma+Verb-Object+SPLIT+Head:分+Tail:手	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
46	伤心	True		这件事真是让他伤透了心。	伤心	Verb-Object	SPLIT	伤	心	伤心+Lemma+Verb-Object+SPLIT+Head:伤+Tail:心	透MOD了ASPECT	透:MOD+了:ASPECT	ASPECT		1.0
47	吃醋	True		她到底在吃谁的醋？	吃醋	Verb-Object	SPLIT	吃	醋	吃醋+Lemma+Verb-Object+SPLIT+Head:吃+Tail:醋	谁PRO的DE	谁:PRO+的:DE	PRONOUN_DE		1.0
48	放心	True		你就放一百个心吧。	放心	Verb-Object	SPLIT	放	心	放心+Lemma+Verb-Object+SPLIT+Head:放+Tail:心	一NUM百NUM个CLF	一:NUM+百:NUM+个:CLF	QUANTIFIER		1.0
49	灰心	True		失败了不要紧，千万别灰了心。	灰心	Verb-Object	SPLIT	灰	心	灰心+Lemma+Verb-Object+SPLIT+Head:灰+Tail:心	了ASPECT	了:ASPECT	ASPECT		1.0
50	操心	True		为了这个家，由于操碎了心。	操心	Verb-Object	SPLIT	操	心	操心+Lemma+Verb-Object+SPLIT+Head:操+Tail:心	碎MOD了ASPECT	碎:MOD+了:ASPECT	ASPECT		1.0
51	动心	True		面对诱惑，他动了一点点心。	动心	Verb-Object	SPLIT	动	心	动心+Lemma+Verb-Object+SPLIT+Head:动+Tail:心	了ASPECT一NUM点点	了:ASPECT+一:NUM	ASPECT		0.5
52	上班	True		即使不舒服，她还是上了一天班。	上班	Verb-Object	SPLIT	上	班	上班+Lemma+Verb-Object+SPLIT+Head:上+Tail:班	了ASPECT一NUM天CLF	了:ASPECT+一:NUM+天:CLF	ASPECT_QUANT		1.0
53	下班	True		还没下班，老板就走了。	下班	Verb-Object	WHOLE	下	班	下班+Lemma+Verb-Object+WHOLE+Head:下+Tail:班			EMPTY		0.5
54	下班	True		下了班之后我们去逛街。	下班	Verb-Object	SPLIT	下	班	下班+Lemma+Verb-Object+SPLIT+Head:下+Tail:班	了ASPECT	了:ASPECT	ASPECT		1.0
55	上学	True		他在这个城市上了六年学。	上学	Verb-Object	SPLIT	上	学	上学+Lemma+Verb-Object+SPLIT+Head:上+Tail:学	了ASPECT六NUM年CLF	了:ASPECT+六:NUM+年:CLF	ASPECT_QUANT		1.0
56	上课	True		今天上午上了两节课。	上课	Verb-Object	SPLIT	上	课	上课+Lemma+Verb-Object+SPLIT+Head:上+Tail:课	午上了ASPECT两NUM节	了:ASPECT+两:NUM	ASPECT		0.4
57	下课	True		下了课我们就去食堂。	下课	Verb-Object	SPLIT	下	课	下课+Lemma+Verb-Object+SPLIT+Head:下+Tail:课	了ASPECT	了:ASPECT	ASPECT		1.0
58	请假	True		身体不舒服，请了三天假。	请假	Verb-Object	SPLIT	请	假	请假+Lemma+Verb-Object+SPLIT+Head:请+Tail:假	了ASPECT三NUM天CLF	了:ASPECT+三:NUM+天:CLF	ASPECT_QUANT		1.0
59	放假	True		五一劳动节放了三天假。	放假	Verb-Object	SPLIT	放	假	放假+Lemma+Verb-Object+SPLIT+Head:放+Tail:假	了ASPECT三NUM天CLF	了:ASPECT+三:NUM+天:CLF	ASPECT_QUANT		1.0
60	考试	True		为了准备考这场试，他通宵复习。	考试	Verb-Object	SPLIT	考	试	考试+Lemma+Verb-Object+SPLIT+Head:考+Tail:试	这DEM场CLF	这:DEM+场:CLF	QUANTIFIER		1.0
61	毕业	True		毕了业以后打算去哪里？	毕业	Verb-Object	SPLIT	毕	业	毕业+Lemma+Verb-Object+SPLIT+Head:毕+Tail:业	了ASPECT	了:ASPECT	ASPECT		1.0
62	留学	True		他在英国留了三年学。	留学	Verb-Object	SPLIT	留	学	留学+Lemma+Verb-Object+SPLIT+Head:留+Tail:学	了ASPECT三NUM年CLF	了:ASPECT+三:NUM+年:CLF	ASPECT_QUANT		1.0
63	报名	True		想参加比赛，得先报一个名。	报名	Verb-Object	SPLIT	报	名	报名+Lemma+Verb-Object+SPLIT+Head:报+Tail:名	一NUM个CLF	一:NUM+个:CLF	QUANTIFIER		1.0
64	辞职	True		受不了老板的脾气，他辞了职。	辞职	Verb-Object	SPLIT	辞	职	辞职+Lemma+Verb-Object+SPLIT+Head:辞+Tail:职	了ASPECT	了:ASPECT	ASPECT		1.0
65	开会	True		下午在公司开了一个长会。	开会	Verb-Object	SPLIT	开	会	开会+Lemma+Verb-Object+SPLIT+Head:开+Tail:会	了ASPECT一NUM个CLF长MOD	了:ASPECT+一:NUM+个:CLF+长:MOD	ASPECT_QUANT		1.0
66	发言	True		作为代表，他在会上发了一次言。	发言	Verb-Object	SPLIT	发	言	发言+Lemma+Verb-Object+SPLIT+Head:发+Tail:言	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
67	值班	True		昨天晚上轮到我值了一个夜班。	上班	Verb-Object	SPLIT	上	班	上班+Lemma+Verb-Object+SPLIT+Head:上+Tail:班	轮到RES我PRO值了ASPECT一NUM个CLF夜	到:RES+我:PRO+了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		0.625
67	值班	True		昨天晚上轮到我值了一个夜班。	值班	Verb-Object	SPLIT	值	班	值班+Lemma+Verb-Object+SPLIT+Head:值+Tail:班	了ASPECT一NUM个CLF夜	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		0.75
68	加班	True		项目上线前，大家加了三个小时班。	加班	Verb-Object	SPLIT	加	班	加班+Lemma+Verb-Object+SPLIT+Head:加+Tail:班	了ASPECT三NUM个CLF小MOD时TIME	了:ASPECT+三:NUM+个:CLF+小:MOD+时:TIME	ASPECT_QUANT		1.0
69	出差	True		下周要去上海出了一趟差。	出差	Verb-Object	SPLIT	出	差	出差+Lemma+Verb-Object+SPLIT+Head:出+Tail:差	了ASPECT一NUM趟CLF	了:ASPECT+一:NUM+趟:CLF	ASPECT_QUANT		1.0
70	生病	True		去年冬天生了一场大病。	生病	Verb-Object	SPLIT	生	病	生病+Lemma+Verb-Object+SPLIT+Head:生+Tail:病	了ASPECT一NUM场CLF大MOD	了:ASPECT+一:NUM+场:CLF+大:MOD	ASPECT_QUANT		1.0
71	住院	True		因为骨折，他在医院住了半个月院。	住院	Verb-Object	SPLIT	住	院	住院+Lemma+Verb-Object+SPLIT+Head:住+Tail:院	了ASPECT半NUM个CLF月CLF	了:ASPECT+半:NUM+个:CLF+月:CLF	ASPECT_QUANT		1.0
72	打针	True		护士轻轻地给他打了一针。	打针	Verb-Object	SPLIT	打	针	打针+Lemma+Verb-Object+SPLIT+Head:打+Tail:针	了ASPECT一NUM	了:ASPECT+一:NUM	ASPECT		1.0
73	输液	True		发烧不退，只能去输了两瓶液。	输液	Verb-Object	SPLIT	输	液	输液+Lemma+Verb-Object+SPLIT+Head:输+Tail:液	了ASPECT两NUM瓶CLF	了:ASPECT+两:NUM+瓶:CLF	ASPECT_QUANT		1.0
74	挂号	True		好不容易挂了一个专家号。	挂号	Verb-Object	SPLIT	挂	号	挂号+Lemma+Verb-Object+SPLIT+Head:挂+Tail:号	了ASPECT一NUM个CLF专家	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		0.6
75	把脉	True		老中医给他把了把脉。	把脉	Verb-Object	REDUP	把	脉	把脉+Lemma+Verb-Object+REDUP+Head:把+Tail:脉			REDUP_SKIP		1.0
76	减肥	True		坚持运动，终于减了十斤肥。	减肥	Verb-Object	SPLIT	减	肥	减肥+Lemma+Verb-Object+SPLIT+Head:减+Tail:肥	了ASPECT十NUM斤CLF	了:ASPECT+十:NUM+斤:CLF	ASPECT_QUANT		1.0
77	鞠躬	True		表演结束，演员向观众鞠了一个躬。	鞠躬	Verb-Object	SPLIT	鞠	躬	鞠躬+Lemma+Verb-Object+SPLIT+Head:鞠+Tail:躬	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0
78	敬礼	True		士兵向国旗敬了一个礼。	敬礼	Verb-Object	SPLIT	敬	礼	敬礼+Lemma+Verb-Object+SPLIT+Head:敬+Tail:礼	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0
79	站岗	True		无论风雨，都要站好这一班岗。	站岗	Verb-Object	SPLIT	站	岗	站岗+Lemma+Verb-Object+SPLIT+Head:站+Tail:岗	好MOD这DEM一NUM班CLF	好:MOD+这:DEM+一:NUM+班:CLF	QUANTIFIER		1.0
80	吃苦	True		年轻的时候多吃一点苦没关系。	吃苦	Verb-Object	SPLIT	吃	苦	吃苦+Lemma+Verb-Object+SPLIT+Head:吃+Tail:苦	一NUM点	一:NUM	UNKNOWN		0.5
81	吃亏	True		虽然吃了个大亏，但也长了记性。	吃亏	Verb-Object	SPLIT	吃	亏	吃亏+Lemma+Verb-Object+SPLIT+Head:吃+Tail:亏	了ASPECT个CLF大MOD	了:ASPECT+个:CLF+大:MOD	ASPECT		1.0
82	受罪	True		这趟旅行简直是花钱受了老大的罪。	受罪	Verb-Object	SPLIT	受	罪	受罪+Lemma+Verb-Object+SPLIT+Head:受+Tail:罪	了ASPECT老MOD大MOD的DE	了:ASPECT+老:MOD+大:MOD+的:DE	ASPECT		1.0
83	看病	True		去医院看个病真难。	看病	Verb-Object	SPLIT	看	病	看病+Lemma+Verb-Object+SPLIT+Head:看+Tail:病	个CLF	个:CLF	QUANTIFIER		1.0
84	跳舞	True		她在晚会上跳了一支优美的舞。	跳舞	Verb-Object	SPLIT	跳	舞	跳舞+Lemma+Verb-Object+SPLIT+Head:跳+Tail:舞	了ASPECT一NUM支CLF优MOD美MOD的DE	了:ASPECT+一:NUM+支:CLF+优:MOD+美:MOD+的:DE	ASPECT_QUANT		1.0
85	唱歌	True		他很高兴，就唱了一首歌。	唱歌	Verb-Object	SPLIT	唱	歌	唱歌+Lemma+Verb-Object+SPLIT+Head:唱+Tail:歌	了ASPECT一NUM首CLF	了:ASPECT+一:NUM+首:CLF	ASPECT_QUANT		1.0
86	出院	True		等出了院就好了。	出院	Verb-Object	SPLIT	出	院	出院+Lemma+Verb-Object+SPLIT+Head:出+Tail:院	了ASPECT	了:ASPECT	ASPECT		1.0
87	游泳	True		夏天去海边游了一次泳。	游泳	Verb-Object	SPLIT	游	泳	游泳+Lemma+Verb-Object+SPLIT+Head:游+Tail:泳	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
88	划船	True		我们在湖上划了一会儿船。	划船	Verb-Object	SPLIT	划	船	划船+Lemma+Verb-Object+SPLIT+Head:划+Tail:船	了ASPECT一NUM会TIME儿TIME	了:ASPECT+一:NUM+会:TIME+儿:TIME	ASPECT		1.0
89	钓鱼	True		周末去水库钓了一天鱼。	钓鱼	Verb-Object	SPLIT	钓	鱼	钓鱼+Lemma+Verb-Object+SPLIT+Head:钓+Tail:鱼	了ASPECT一NUM天CLF	了:ASPECT+一:NUM+天:CLF	ASPECT_QUANT		1.0
90	滑冰	True		冬天去什刹海滑了一次冰。	滑冰	Verb-Object	SPLIT	滑	冰	滑冰+Lemma+Verb-Object+SPLIT+Head:滑+Tail:冰	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
91	签名	True		明星给粉丝签了一个名。	签名	Verb-Object	SPLIT	签	名	签名+Lemma+Verb-Object+SPLIT+Head:签+Tail:名	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0
92	排队	True		买网红奶茶排了半天队。	排队	Verb-Object	SPLIT	排	队	排队+Lemma+Verb-Object+SPLIT+Head:排+Tail:队	了ASPECT半NUM天CLF	了:ASPECT+半:NUM+天:CLF	ASPECT_QUANT		1.0
93	打工	True		辛苦了一辈子，终于退休了。	退休	Verb-Object	WHOLE	退	休	退休+Lemma+Verb-Object+WHOLE+Head:退+Tail:休			EMPTY		0.5
94	戒烟	True		为了健康，他彻底戒了烟。	戒烟	Verb-Object	SPLIT	戒	烟	戒烟+Lemma+Verb-Object+SPLIT+Head:戒+Tail:烟	了ASPECT	了:ASPECT	ASPECT		1.0
95	回家	True		春节一定要回了一趟家。	回家	Verb-Object	SPLIT	回	家	回家+Lemma+Verb-Object+SPLIT+Head:回+Tail:家	了ASPECT一NUM趟CLF	了:ASPECT+一:NUM+趟:CLF	ASPECT_QUANT		1.0
96	死心	True		既然不可能，你就死了这条心吧。	死心	Verb-Object	SPLIT	死	心	死心+Lemma+Verb-Object+SPLIT+Head:死+Tail:心	了ASPECT这DEM条CLF	了:ASPECT+这:DEM+条:CLF	ASPECT		1.0
97	挑水	True		和尚下山挑了一担水。	挑水	Verb-Object	SPLIT	挑	水	挑水+Lemma+Verb-Object+SPLIT+Head:挑+Tail:水	了ASPECT一NUM担CLF	了:ASPECT+一:NUM+担:CLF	ASPECT_QUANT		1.0
98	受伤	True		他在比赛中受了很重的伤。	受伤	Verb-Object	SPLIT	受	伤	受伤+Lemma+Verb-Object+SPLIT+Head:受+Tail:伤	了ASPECT很MOD重MOD的DE	了:ASPECT+很:MOD+重:MOD+的:DE	ASPECT		1.0
99	散心	True		她心情不好，想出去散散心。	散心	Verb-Object	REDUP	散	心	散心+Lemma+Verb-Object+REDUP+Head:散+Tail:心			REDUP_SKIP		1.0
100	扫兴	True		这件事真是扫了大家的兴。	扫兴	Verb-Object	SPLIT	扫	兴	扫兴+Lemma+Verb-Object+SPLIT+Head:扫+Tail:兴	了ASPECT大MOD家的DE	了:ASPECT+大:MOD+的:DE	ASPECT		0.75
101	领情	True		我好心帮你，你却不领我的情。	领情	Verb-Object	SPLIT	领	情	领情+Lemma+Verb-Object+SPLIT+Head:领+Tail:情	我PRO的DE	我:PRO+的:DE	PRONOUN_DE		1.0
102	送礼	True		过节去亲戚家送了一份厚礼。	送礼	Verb-Object	SPLIT	送	礼	送礼+Lemma+Verb-Object+SPLIT+Head:送+Tail:礼	了ASPECT一NUM份CLF厚MOD	了:ASPECT+一:NUM+份:CLF+厚:MOD	ASPECT_QUANT		1.0
103	拌嘴	True		小两口经常拌几句嘴。	拌嘴	Verb-Object	SPLIT	拌	嘴	拌嘴+Lemma+Verb-Object+SPLIT+Head:拌+Tail:嘴	几NUM句CLF	几:NUM+句:CLF	QUANTIFIER		1.0
104	叹气	True		遇到困难，他无奈地叹了一口气。	叹气	Verb-Object	SPLIT	叹	气	叹气+Lemma+Verb-Object+SPLIT+Head:叹+Tail:气	了ASPECT一NUM口CLF	了:ASPECT+一:NUM+口:CLF	ASPECT_QUANT		1.0
105	丢脸	True		在这么多人面前摔倒，真是丢尽了脸。	丢脸	Verb-Object	SPLIT	丢	脸	丢脸+Lemma+Verb-Object+SPLIT+Head:丢+Tail:脸	尽MOD了ASPECT	尽:MOD+了:ASPECT	ASPECT		1.0
106	接吻	True		他们当街接了个法式湿吻。	接吻	Verb-Object	SPLIT	接	吻	接吻+Lemma+Verb-Object+SPLIT+Head:接+Tail:吻	了ASPECT个CLF法式湿	了:ASPECT+个:CLF	ASPECT		0.4
107	开枪	True		嫌疑人对着沙滩上聚集的人群开了三枪。	开枪	Verb-Object	SPLIT	开	枪	开枪+Lemma+Verb-Object+SPLIT+Head:开+Tail:枪	了ASPECT三NUM	了:ASPECT+三:NUM	ASPECT		1.0
108	受骗	True		因为贪便宜，老人受了一次骗。	受骗	Verb-Object	SPLIT	受	骗	受骗+Lemma+Verb-Object+SPLIT+Head:受+Tail:骗	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0
109	挨批	True		工作没做好，挨了一顿批。	挨批	Verb-Object	SPLIT	挨	批	挨批+Lemma+Verb-Object+SPLIT+Head:挨+Tail:批	了ASPECT一NUM顿CLF	了:ASPECT+一:NUM+顿:CLF	ASPECT_QUANT		1.0
110	干杯	True		为了我们的友谊，干了这杯！	干杯	Verb-Object	SPLIT	干	杯	干杯+Lemma+Verb-Object+SPLIT+Head:干+Tail:杯	了ASPECT这DEM	了:ASPECT+这:DEM	ASPECT		1.0
111	革命	True		如果再不改革，就是革自己的命。	革命	Verb-Object	SPLIT	革	命	革命+Lemma+Verb-Object+SPLIT+Head:革+Tail:命	，就是革自PRO己PRO的DE	自:PRO+己:PRO+的:DE	PRONOUN_DE		0.42857142857142855
112	造反	True		这孩子真不听话，是要造谁的反？	造反	Verb-Object	SPLIT	造	反	造反+Lemma+Verb-Object+SPLIT+Head:造+Tail:反	谁PRO的DE	谁:PRO+的:DE	PRONOUN_DE		1.0
113	退休	True		还没到年纪，他就退了休。	退休	Verb-Object	SPLIT	退	休	退休+Lemma+Verb-Object+SPLIT+Head:退+Tail:休	了ASPECT	了:ASPECT	ASPECT		1.0
