sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis
33	拜年	True		大年初一去给长辈拜个年。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年
34	握手	True		大家互相握了一下手。	握手	Verb-Object	SPLIT	握	手	握手+Lemma+Verb-Object+SPLIT+Head:握+Tail:手
35	捣乱	True		别在他工作的时候捣他的乱。	捣乱	Verb-Object	SPLIT	捣	乱	捣乱+Lemma+Verb-Object+SPLIT+Head:捣+Tail:乱
36	开玩笑	True		我只是跟你开了一个玩笑。	开玩笑	Verb-Object	SPLIT	开	玩笑	开玩笑+Lemma+Verb-Object+SPLIT+Head:开+Tail:玩笑
37	撒谎	True		他脸红了，显然是撒了一个谎。	撒谎	Verb-Object	SPLIT	撒	谎	撒谎+Lemma+Verb-Object+SPLIT+Head:撒+Tail:谎
38	吹牛	True		别听他瞎说，他又在吹牛。	吹牛	Verb-Object	WHOLE	吹	牛	吹牛+Lemma+Verb-Object+WHOLE+Head:吹+Tail:牛
39	告状	True		他去老师那里告了你一状。	告状	Verb-Object	SPLIT	告	状	告状+Lemma+Verb-Object+SPLIT+Head:告+Tail:状
40	请客	True		为了庆祝升职，他请了一次客。	请客	Verb-Object	SPLIT	请	客	请客+Lemma+Verb-Object+SPLIT+Head:请+Tail:客
42	离婚	True		听说邻居离了两次婚。	离婚	Verb-Object	SPLIT	离	婚	离婚+Lemma+Verb-Object+SPLIT+Head:离+Tail:婚
43	订婚	True		他们刚刚订完婚。	订婚	Verb-Object	SPLIT	订	婚	订婚+Lemma+Verb-Object+SPLIT+Head:订+Tail:婚
44	谈恋爱	True		大学期间谈了一场轰轰烈烈的恋爱。	谈恋爱	Verb-Object	SPLIT	谈	恋爱	谈恋爱+Lemma+Verb-Object+SPLIT+Head:谈+Tail:恋爱
45	分手	True		因为性格不合，他们分了一次手。	分手	Verb-Object	SPLIT	分	手	分手+Lemma+Verb-Object+SPLIT+Head:分+Tail:手
46	伤心	True		这件事真是让他伤透了心。	伤心	Verb-Object	SPLIT	伤	心	伤心+Lemma+Verb-Object+SPLIT+Head:伤+Tail:心
47	吃醋	True		她到底在吃谁的醋？	吃醋	Verb-Object	SPLIT	吃	醋	吃醋+Lemma+Verb-Object+SPLIT+Head:吃+Tail:醋
48	放心	True		你就放一百个心吧。	放心	Verb-Object	SPLIT	放	心	放心+Lemma+Verb-Object+SPLIT+Head:放+Tail:心
49	灰心	True		失败了不要紧，千万别灰了心。	灰心	Verb-Object	SPLIT	灰	心	灰心+Lemma+Verb-Object+SPLIT+Head:灰+Tail:心
50	操心	True		为了这个家，由于操碎了心。	操心	Verb-Object	SPLIT	操	心	操心+Lemma+Verb-Object+SPLIT+Head:操+Tail:心
51	动心	True		面对诱惑，他动了一点点心。	动心	Verb-Object	SPLIT	动	心	动心+Lemma+Verb-Object+SPLIT+Head:动+Tail:心
52	上班	True		即使不舒服，她还是上了一天班。	上班	Verb-Object	SPLIT	上	班	上班+Lemma+Verb-Object+SPLIT+Head:上+Tail:班
53	下班	True		还没下班，老板就走了。	下班	Verb-Object	WHOLE	下	班	下班+Lemma+Verb-Object+WHOLE+Head:下+Tail:班
54	下班	True		下了班之后我们去逛街。	下班	Verb-Object	SPLIT	下	班	下班+Lemma+Verb-Object+SPLIT+Head:下+Tail:班
55	上学	True		他在这个城市上了六年学。	上学	Verb-Object	SPLIT	上	学	上学+Lemma+Verb-Object+SPLIT+Head:上+Tail:学
56	上课	True		今天上午上了两节课。	上课	Verb-Object	SPLIT	上	课	上课+Lemma+Verb-Object+SPLIT+Head:上+Tail:课
57	下课	True		下了课我们就去食堂。	下课	Verb-Object	SPLIT	下	课	下课+Lemma+Verb-Object+SPLIT+Head:下+Tail:课
58	请假	True		身体不舒服，请了三天假。	请假	Verb-Object	SPLIT	请	假	请假+Lemma+Verb-Object+SPLIT+Head:请+Tail:假
59	放假	True		五一劳动节放了三天假。	放假	Verb-Object	SPLIT	放	假	放假+Lemma+Verb-Object+SPLIT+Head:放+Tail:假
60	考试	True		为了准备考这场试，他通宵复习。	考试	Verb-Object	SPLIT	考	试	考试+Lemma+Verb-Object+SPLIT+Head:考+Tail:试
61	毕业	True		毕了业以后打算去哪里？	毕业	Verb-Object	SPLIT	毕	业	毕业+Lemma+Verb-Object+SPLIT+Head:毕+Tail:业
62	留学	True		他在英国留了三年学。	留学	Verb-Object	SPLIT	留	学	留学+Lemma+Verb-Object+SPLIT+Head:留+Tail:学
63	报名	True		想参加比赛，得先报一个名。	报名	Verb-Object	SPLIT	报	名	报名+Lemma+Verb-Object+SPLIT+Head:报+Tail:名
64	辞职	True		受不了老板的脾气，他辞了职。	辞职	Verb-Object	SPLIT	辞	职	辞职+Lemma+Verb-Object+SPLIT+Head:辞+Tail:职
65	开会	True		下午在公司开了一个长会。	开会	Verb-Object	SPLIT	开	会	开会+Lemma+Verb-Object+SPLIT+Head:开+Tail:会
66	发言	True		作为代表，他在会上发了一次言。	发言	Verb-Object	SPLIT	发	言	发言+Lemma+Verb-Object+SPLIT+Head:发+Tail:言
67	值班	True		昨天晚上轮到我值了一个夜班。	上班	Verb-Object	SPLIT	上	班	上班+Lemma+Verb-Object+SPLIT+Head:上+Tail:班
67	值班	True		昨天晚上轮到我值了一个夜班。	值班	Verb-Object	SPLIT	值	班	值班+Lemma+Verb-Object+SPLIT+Head:值+Tail:班
68	加班	True		项目上线前，大家加了三个小时班。	加班	Verb-Object	SPLIT	加	班	加班+Lemma+Verb-Object+SPLIT+Head:加+Tail:班
69	出差	True		下周要去上海出了一趟差。	出差	Verb-Object	SPLIT	出	差	出差+Lemma+Verb-Object+SPLIT+Head:出+Tail:差
70	生病	True		去年冬天生了一场大病。	生病	Verb-Object	SPLIT	生	病	生病+Lemma+Verb-Object+SPLIT+Head:生+Tail:病
71	住院	True		因为骨折，他在医院住了半个月院。	住院	Verb-Object	SPLIT	住	院	住院+Lemma+Verb-Object+SPLIT+Head:住+Tail:院
72	打针	True		护士轻轻地给他打了一针。	打针	Verb-Object	SPLIT	打	针	打针+Lemma+Verb-Object+SPLIT+Head:打+Tail:针
73	输液	True		发烧不退，只能去输了两瓶液。	输液	Verb-Object	SPLIT	输	液	输液+Lemma+Verb-Object+SPLIT+Head:输+Tail:液
74	挂号	True		好不容易挂了一个专家号。	挂号	Verb-Object	SPLIT	挂	号	挂号+Lemma+Verb-Object+SPLIT+Head:挂+Tail:号
75	把脉	True		老中医给他把了把脉。	把脉	Verb-Object	REDUP	把	脉	把脉+Lemma+Verb-Object+REDUP+Head:把+Tail:脉
76	减肥	True		坚持运动，终于减了十斤肥。	减肥	Verb-Object	SPLIT	减	肥	减肥+Lemma+Verb-Object+SPLIT+Head:减+Tail:肥
77	鞠躬	True		表演结束，演员向观众鞠了一个躬。	鞠躬	Verb-Object	SPLIT	鞠	躬	鞠躬+Lemma+Verb-Object+SPLIT+Head:鞠+Tail:躬
78	敬礼	True		士兵向国旗敬了一个礼。	敬礼	Verb-Object	SPLIT	敬	礼	敬礼+Lemma+Verb-Object+SPLIT+Head:敬+Tail:礼
79	站岗	True		无论风雨，都要站好这一班岗。	站岗	Verb-Object	SPLIT	站	岗	站岗+Lemma+Verb-Object+SPLIT+Head:站+Tail:岗
80	吃苦	True		年轻的时候多吃一点苦没关系。	吃苦	Verb-Object	SPLIT	吃	苦	吃苦+Lemma+Verb-Object+SPLIT+Head:吃+Tail:苦
81	吃亏	True		虽然吃了个大亏，但也长了记性。	吃亏	Verb-Object	SPLIT	吃	亏	吃亏+Lemma+Verb-Object+SPLIT+Head:吃+Tail:亏
82	受罪	True		这趟旅行简直是花钱受了老大的罪。	受罪	Verb-Object	SPLIT	受	罪	受罪+Lemma+Verb-Object+SPLIT+Head:受+Tail:罪
83	看病	True		去医院看个病真难。	看病	Verb-Object	SPLIT	看	病	看病+Lemma+Verb-Object+SPLIT+Head:看+Tail:病
84	跳舞	True		她在晚会上跳了一支优美的舞。	跳舞	Verb-Object	SPLIT	跳	舞	跳舞+Lemma+Verb-Object+SPLIT+Head:跳+Tail:舞
85	唱歌	True		他很高兴，就唱了一首歌。	唱歌	Verb-Object	SPLIT	唱	歌	唱歌+Lemma+Verb-Object+SPLIT+Head:唱+Tail:歌
86	出院	True		等出了院就好了。	出院	Verb-Object	SPLIT	出	院	出院+Lemma+Verb-Object+SPLIT+Head:出+Tail:院
87	游泳	True		夏天去海边游了一次泳。	游泳	Verb-Object	SPLIT	游	泳	游泳+Lemma+Verb-Object+SPLIT+Head:游+Tail:泳
88	划船	True		我们在湖上划了一会儿船。	划船	Verb-Object	SPLIT	划	船	划船+Lemma+Verb-Object+SPLIT+Head:划+Tail:船
89	钓鱼	True		周末去水库钓了一天鱼。	钓鱼	Verb-Object	SPLIT	钓	鱼	钓鱼+Lemma+Verb-Object+SPLIT+Head:钓+Tail:鱼
90	滑冰	True		冬天去什刹海滑了一次冰。	滑冰	Verb-Object	SPLIT	滑	冰	滑冰+Lemma+Verb-Object+SPLIT+Head:滑+Tail:冰
91	签名	True		明星给粉丝签了一个名。	签名	Verb-Object	SPLIT	签	名	签名+Lemma+Verb-Object+SPLIT+Head:签+Tail:名
92	排队	True		买网红奶茶排了半天队。	排队	Verb-Object	SPLIT	排	队	排队+Lemma+Verb-Object+SPLIT+Head:排+Tail:队
93	打工	True		辛苦了一辈子，终于退休了。	退休	Verb-Object	WHOLE	退	休	退休+Lemma+Verb-Object+WHOLE+Head:退+Tail:休
94	戒烟	True		为了健康，他彻底戒了烟。	戒烟	Verb-Object	SPLIT	戒	烟	戒烟+Lemma+Verb-Object+SPLIT+Head:戒+Tail:烟
95	回家	True		春节一定要回了一趟家。	回家	Verb-Object	SPLIT	回	家	回家+Lemma+Verb-Object+SPLIT+Head:回+Tail:家
96	死心	True		既然不可能，你就死了这条心吧。	死心	Verb-Object	SPLIT	死	心	死心+Lemma+Verb-Object+SPLIT+Head:死+Tail:心
97	挑水	True		和尚下山挑了一担水。	挑水	Verb-Object	SPLIT	挑	水	挑水+Lemma+Verb-Object+SPLIT+Head:挑+Tail:水
98	受伤	True		他在比赛中受了很重的伤。	受伤	Verb-Object	SPLIT	受	伤	受伤+Lemma+Verb-Object+SPLIT+Head:受+Tail:伤
99	散心	True		她心情不好，想出去散散心。	散心	Verb-Object	REDUP	散	心	散心+Lemma+Verb-Object+REDUP+Head:散+Tail:心
100	扫兴	True		这件事真是扫了大家的兴。	扫兴	Verb-Object	SPLIT	扫	兴	扫兴+Lemma+Verb-Object+SPLIT+Head:扫+Tail:兴
101	领情	True		我好心帮你，你却不领我的情。	领情	Verb-Object	SPLIT	领	情	领情+Lemma+Verb-Object+SPLIT+Head:领+Tail:情
102	送礼	True		过节去亲戚家送了一份厚礼。	送礼	Verb-Object	SPLIT	送	礼	送礼+Lemma+Verb-Object+SPLIT+Head:送+Tail:礼
103	拌嘴	True		小两口经常拌几句嘴。	拌嘴	Verb-Object	SPLIT	拌	嘴	拌嘴+Lemma+Verb-Object+SPLIT+Head:拌+Tail:嘴
104	叹气	True		遇到困难，他无奈地叹了一口气。	叹气	Verb-Object	SPLIT	叹	气	叹气+Lemma+Verb-Object+SPLIT+Head:叹+Tail:气
105	丢脸	True		在这么多人面前摔倒，真是丢尽了脸。	丢脸	Verb-Object	SPLIT	丢	脸	丢脸+Lemma+Verb-Object+SPLIT+Head:丢+Tail:脸
106	接吻	True		他们当街接了个法式湿吻。	接吻	Verb-Object	SPLIT	接	吻	接吻+Lemma+Verb-Object+SPLIT+Head:接+Tail:吻
107	开枪	True		嫌疑人对着沙滩上聚集的人群开了三枪。	开枪	Verb-Object	SPLIT	开	枪	开枪+Lemma+Verb-Object+SPLIT+Head:开+Tail:枪
108	受骗	True		因为贪便宜，老人受了一次骗。	受骗	Verb-Object	SPLIT	受	骗	受骗+Lemma+Verb-Object+SPLIT+Head:受+Tail:骗
109	挨批	True		工作没做好，挨了一顿批。	挨批	Verb-Object	SPLIT	挨	批	挨批+Lemma+Verb-Object+SPLIT+Head:挨+Tail:批
110	干杯	True		为了我们的友谊，干了这杯！	干杯	Verb-Object	SPLIT	干	杯	干杯+Lemma+Verb-Object+SPLIT+Head:干+Tail:杯
111	革命	True		如果再不改革，就是革自己的命。	革命	Verb-Object	SPLIT	革	命	革命+Lemma+Verb-Object+SPLIT+Head:革+Tail:命
112	造反	True		这孩子真不听话，是要造谁的反？	造反	Verb-Object	SPLIT	造	反	造反+Lemma+Verb-Object+SPLIT+Head:造+Tail:反
113	退休	True		还没到年纪，他就退了休。	退休	Verb-Object	SPLIT	退	休	退休+Lemma+Verb-Object+SPLIT+Head:退+Tail:休
114	出事	True		他们家出了点事。	出事	Verb-Object	SPLIT	出	事	出事+Lemma+Verb-Object+SPLIT+Head:出+Tail:事
115	把关	True		质量问题一定要把好关。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关
116	施肥	True		春天到了，给庄稼施了一遍肥。	施肥	Verb-Object	SPLIT	施	肥	施肥+Lemma+Verb-Object+SPLIT+Head:施+Tail:肥
117	倒霉	True		出门踩到泥，真是倒了大霉。	倒霉	Verb-Object	SPLIT	倒	霉	倒霉+Lemma+Verb-Object+SPLIT+Head:倒+Tail:霉
118	提醒	True		谢谢你，真是给我提了个醒。	提醒	PseudoV-O	SPLIT	提	醒	提醒+Lemma+PseudoV-O+SPLIT+Head:提+Tail:醒
119	出恭	True		皇帝上朝前出了一次恭。	出恭	PseudoV-O	SPLIT	出	恭	出恭+Lemma+PseudoV-O+SPLIT+Head:出+Tail:恭
120	将军	True		这一步棋真是将了他一军。	将军	PseudoV-O	SPLIT	将	军	将军+Lemma+PseudoV-O+SPLIT+Head:将+Tail:军
121	学习	True		周末准备在家学三小时习。	学习	PseudoV-O	SPLIT	学	习	学习+Lemma+PseudoV-O+SPLIT+Head:学+Tail:习
122	慷慨	True		这些贪官都是在慷国家之慨。	慷慨	SimplexWord	SPLIT	慷	慨	慷慨+Lemma+SimplexWord+SPLIT+Head:慷+Tail:慨
123	慷慨	True		你这是慷他人之慨。	慷慨	SimplexWord	SPLIT	慷	慨	慷慨+Lemma+SimplexWord+SPLIT+Head:慷+Tail:慨
124	幽默	True		人生苦短，何不幽他一默。	幽默	SimplexWord	SPLIT	幽	默	幽默+Lemma+SimplexWord+SPLIT+Head:幽+Tail:默
125	滑稽	True		这种说法简直是滑天下之大稽。	滑稽	SimplexWord	SPLIT	滑	稽	滑稽+Lemma+SimplexWord+SPLIT+Head:滑+Tail:稽
126	小便	True		刚刚去厕所小了一次便。	小便	Modifier-Head	SPLIT	小	便	小便+Lemma+Modifier-Head+SPLIT+Head:小+Tail:便
127	大便	True		如果不舒服，可能大不出来便。	大便	Modifier-Head	SPLIT	大	便	大便+Lemma+Modifier-Head+SPLIT+Head:大+Tail:便
128	军训	True		大一新生刚军完了训。	军训	Modifier-Head	SPLIT	军	训	军训+Lemma+Modifier-Head+SPLIT+Head:军+Tail:训
129	体检	True		入职前体了个检，所幸一切正常。	体检	Modifier-Head	SPLIT	体	检	体检+Lemma+Modifier-Head+SPLIT+Head:体+Tail:检
130	同学	True		我和他虽然同过三年学，但不熟。	同学	Modifier-Head	SPLIT	同	学	同学+Lemma+Modifier-Head+SPLIT+Head:同+Tail:学
131	散步	True		晚饭后我们去散散步。	散步	Verb-Object	REDUP	散	步	散步+Lemma+Verb-Object+REDUP+Head:散+Tail:步
132	见面	True		好久不见，咱们见一见面吧。	见面	Verb-Object	REDUP	见	面	见面+Lemma+Verb-Object+REDUP+Head:见+Tail:面
133	聊天	True		周末找个咖啡馆聊聊天。	聊天	Verb-Object	REDUP	聊	天	聊天+Lemma+Verb-Object+REDUP+Head:聊+Tail:天
134	睡觉	True		困了就去睡一睡觉休息一下。	睡觉	Verb-Object	REDUP	睡	觉	睡觉+Lemma+Verb-Object+REDUP+Head:睡+Tail:觉
135	把脉	True		医生给他把把脉。	把脉	Verb-Object	REDUP	把	脉	把脉+Lemma+Verb-Object+REDUP+Head:把+Tail:脉
136	洗澡	True		身上脏了，去洗洗澡。	洗澡	Verb-Object	REDUP	洗	澡	洗澡+Lemma+Verb-Object+REDUP+Head:洗+Tail:澡
137	鼓掌	True		观众为精彩的表演鼓了鼓掌。	鼓掌	Verb-Object	REDUP	鼓	掌	鼓掌+Lemma+Verb-Object+REDUP+Head:鼓+Tail:掌
138	敲门	True		狼外婆敲了敲门。	敲门	Verb-Object	REDUP	敲	门	敲门+Lemma+Verb-Object+REDUP+Head:敲+Tail:门
139	把关	True		你可得好好给咱们女儿把把关呐。	把关	Verb-Object	REDUP	把	关	把关+Lemma+Verb-Object+REDUP+Head:把+Tail:关
140	拌嘴	True		小两口偶尔拌拌嘴很正常。	拌嘴	Verb-Object	REDUP	拌	嘴	拌嘴+Lemma+Verb-Object+REDUP+Head:拌+Tail:嘴
141	打球	True		他周末喜欢打打球。	打球	Verb-Object	REDUP	打	球	打球+Lemma+Verb-Object+REDUP+Head:打+Tail:球
142	看病	True		我们要带奶奶去看看病。	看病	Verb-Object	REDUP	看	病	看病+Lemma+Verb-Object+REDUP+Head:看+Tail:病
143	开会	True		我们来开开会商讨一下。	开会	Verb-Object	REDUP	开	会	开会+Lemma+Verb-Object+REDUP+Head:开+Tail:会
144	输液	True		只是要输输液而已。	输液	Verb-Object	REDUP	输	液	输液+Lemma+Verb-Object+REDUP+Head:输+Tail:液
145	游泳	True		他等下要去游游泳。	游泳	Verb-Object	REDUP	游	泳	游泳+Lemma+Verb-Object+REDUP+Head:游+Tail:泳
146	请客	True		该你请请客了。	请客	Verb-Object	REDUP	请	客	请客+Lemma+Verb-Object+REDUP+Head:请+Tail:客
147	放假	True		给孩子们放放假吧。	放假	Verb-Object	REDUP	放	假	放假+Lemma+Verb-Object+REDUP+Head:放+Tail:假
148	加班	True		要辛苦你加加班了。	加班	Verb-Object	REDUP	加	班	加班+Lemma+Verb-Object+REDUP+Head:加+Tail:班
151	吃饭	True		这些人真是吃软饭的。	吃饭	Verb-Object	SPLIT	吃	饭	吃饭+Lemma+Verb-Object+SPLIT+Head:吃+Tail:饭
149	睡觉	False	COINCIDENCE	他睡在床上觉得很冷。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉
150	洗澡	False	COINCIDENCE	她用洗衣机洗了好几澡盆的衣服。	洗澡	Verb-Object	SPLIT	洗	澡	洗澡+Lemma+Verb-Object+SPLIT+Head:洗+Tail:澡
154	走路	False	COINCIDENCE	我走在乡间的小路上。	走路	Verb-Object	SPLIT	走	路	走路+Lemma+Verb-Object+SPLIT+Head:走+Tail:路
155	跑步	False	COINCIDENCE	他跑完了这一步棋。	跑步	Verb-Object	SPLIT	跑	步	跑步+Lemma+Verb-Object+SPLIT+Head:跑+Tail:步
157	上网	False	COINCIDENCE	蜘蛛爬上了高高的网架。	上网	Verb-Object	SPLIT	上	网	上网+Lemma+Verb-Object+SPLIT+Head:上+Tail:网
158	理发	False	COINCIDENCE	经理发现了问题。	理发	Verb-Object	WHOLE	理	发	理发+Lemma+Verb-Object+WHOLE+Head:理+Tail:发
159	搬家	False	COINCIDENCE	搬运工把家具都搬走了。	搬家	Verb-Object	SPLIT	搬	家	搬家+Lemma+Verb-Object+SPLIT+Head:搬+Tail:家
162	写字	False	COINCIDENCE	请在纸上写下你的名字。	写字	Verb-Object	SPLIT	写	字	写字+Lemma+Verb-Object+SPLIT+Head:写+Tail:字
169	帮忙	False	COINCIDENCE	丐帮的人都很忙。	帮忙	Verb-Object	SPLIT	帮	忙	帮忙+Lemma+Verb-Object+SPLIT+Head:帮+Tail:忙
170	聊天	False	COINCIDENCE	英国的人喜欢聊天气。	聊天	Verb-Object	WHOLE	聊	天	聊天+Lemma+Verb-Object+WHOLE+Head:聊+Tail:天
177	道歉	False	PP_POS	她最终道向我歉了。	道歉	Verb-Object	SPLIT	道	歉	道歉+Lemma+Verb-Object+SPLIT+Head:道+Tail:歉
178	道谢	False	PP_POS	她道向老师谢。	道谢	Verb-Object	SPLIT	道	谢	道谢+Lemma+Verb-Object+SPLIT+Head:道+Tail:谢
179	拜年	False	COINCIDENCE	礼拜天年轻人都在休息。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年
182	捣乱	False	MISSING_DE	别在他工作的时候捣他乱。	捣乱	Verb-Object	SPLIT	捣	乱	捣乱+Lemma+Verb-Object+SPLIT+Head:捣+Tail:乱
187	告状	False	COINCIDENCE	他详细报告了目前的状况。	告状	Verb-Object	SPLIT	告	状	告状+Lemma+Verb-Object+SPLIT+Head:告+Tail:状
193	吃醋	False	COINCIDENCE	你吃饺子不配醋吗？	吃醋	Verb-Object	SPLIT	吃	醋	吃醋+Lemma+Verb-Object+SPLIT+Head:吃+Tail:醋
202	上学	False	CROSS_CONST	往上瞧就是学校建筑。	上学	Verb-Object	SPLIT	上	学	上学+Lemma+Verb-Object+SPLIT+Head:上+Tail:学
203	上课	False	COINCIDENCE	桌上放着课本。	上课	Verb-Object	SPLIT	上	课	上课+Lemma+Verb-Object+SPLIT+Head:上+Tail:课
209	报名	False	COINCIDENCE	报纸上有他的名字。	报名	Verb-Object	SPLIT	报	名	报名+Lemma+Verb-Object+SPLIT+Head:报+Tail:名
212	值班	False	COINCIDENCE	他值得全班的表扬。	值班	Verb-Object	SPLIT	值	班	值班+Lemma+Verb-Object+SPLIT+Head:值+Tail:班
218	把脉	False	CROSS_CONST	他把门关上，递给我一瓶脉动。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关
223	吃苦	False	COINCIDENCE	他吃了一口苦瓜。	吃苦	Verb-Object	SPLIT	吃	苦	吃苦+Lemma+Verb-Object+SPLIT+Head:吃+Tail:苦
232	滑冰	False	COINCIDENCE	她滑倒在冰面上。	滑冰	Verb-Object	SPLIT	滑	冰	滑冰+Lemma+Verb-Object+SPLIT+Head:滑+Tail:冰
235	打工	False	COINCIDENCE	你为什么打工地上的人？	打工	Verb-Object	WHOLE	打	工	打工+Lemma+Verb-Object+WHOLE+Head:打+Tail:工
246	丢脸	False	MISSING_DE	这次真的丢你脸了。	丢脸	Verb-Object	SPLIT	丢	脸	丢脸+Lemma+Verb-Object+SPLIT+Head:丢+Tail:脸
252	革命	False	MISSING_DE	他们这是要革你命啊。	革命	Verb-Object	SPLIT	革	命	革命+Lemma+Verb-Object+SPLIT+Head:革+Tail:命
253	造反	False	MISSING_DE	造他反就是找死。	造反	Verb-Object	SPLIT	造	反	造反+Lemma+Verb-Object+SPLIT+Head:造+Tail:反
