case_id	gold_stem	gold_label	lemma	type_tag	shape	is_redup	sentence	tokens	pos_tags	category	is_valid	pattern_type	head_token_indices	tail_token_indices	reason
11	搬家	True	搬家	Verb-Object	SPLIT	False	这几年如果不搬三次家就不算北漂。	这 几年 如果 不 搬 三次 家 就 不 算 北漂 。	DT NT CS AD VV AD NN AD AD VV VV PU	SPLIT	True	two_tokens	4	6	split_two_tokens_V_then_N
12	起床	True	生病	Verb-Object	WHOLE	False	生病了，难受得起不了床。	生病 了 ， 难受 得 起 不 了 床 。	VV AS PU VA DER VV AD VV NN PU	WHOLE	True	none	0	0	pos_ok
12	起床	True	起床	Verb-Object	SPLIT	False	生病了，难受得起不了床。	生病 了 ， 难受 得 起 不 了 床 。	VV AS PU VA DER VV AD VV NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
13	看书	True	看书	Verb-Object	SPLIT	False	他在图书馆安静地看了半天书。	他 在 图书馆 安静 地 看 了 半天 书 。	PN P NN VA DEV VV AS AD NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
14	写字	True	写字	Verb-Object	SPLIT	False	练习了十年，终于写了一手好字。	练习 了 十年 ， 终于 写 了 一手 好字 。	VV AS NT PU AD VV AS NN NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
15	开门	True	开门	Verb-Object	SPLIT	False	有人敲门，快去开一下门。	有人 敲门 ， 快 去 开 一下 门 。	PN VV PU AD VV VV AD NN PU	SPLIT	True	two_tokens	5	7	split_two_tokens_V_then_N
16	关灯	True	关灯	Verb-Object	SPLIT	False	记得关了灯再睡觉。	记得 关 了 灯 再 睡觉 。	VV VV AS NN AD VV PU	SPLIT	True	two_tokens	1	3	split_two_tokens_V_then_N
16	关灯	True	睡觉	Verb-Object	WHOLE	False	记得关了灯再睡觉。	记得 关 了 灯 再 睡觉 。	VV VV AS NN AD VV PU	WHOLE	True	none	5	5	pos_ok
17	做饭	True	做饭	Verb-Object	SPLIT	False	今天妈妈做了一顿丰盛的晚饭。	今天 妈妈 做 了 一 顿 丰盛 的 晚饭 。	NT NN VV AS CD M JJ DEG NN PU	SPLIT	True	two_tokens	2	8	split_two_tokens_V_then_N
18	打球	True	打球	Verb-Object	SPLIT	False	周末约朋友去打了一场球。	周末 约 朋友 去 打 了 一 场 球 。	NT VV NN VV VV AS CD M NN PU	SPLIT	True	two_tokens	4	8	split_two_tokens_V_then_N
19	抽烟	True	抽烟	Verb-Object	SPLIT	False	压力大的时候他抽了一根烟。	压力 大 的 时候 他 抽 了 一 根 烟 。	NN VA DEC NN PN VV AS CD M NN PU	SPLIT	True	two_tokens	5	9	split_two_tokens_V_then_N
20	见面	True	见面	Verb-Object	SPLIT	False	我们虽然同城，但也只见过一面。	我们 虽然 同城 ， 但 也 只 见 过 一面 。	PN CS VV PU AD AD AD VV AS NN PU	SPLIT	True	two_tokens	7	9	split_two_tokens_V_then_N
21	帮忙	True	帮忙	Verb-Object	SPLIT	False	你真是帮了我一个大忙。	你 真是 帮 了 我 一个 大忙 。	PN AD VV AS PN CD NN PU	SPLIT	True	two_tokens	2	6	split_two_tokens_V_then_N
22	聊天	True	聊天	Verb-Object	SPLIT	False	和老朋友见面，聊了一整天。	和 老朋友 见面 ， 聊 了 一整天 。	P NN VV PU VV AS NN PU	SPLIT	True	two_tokens	4	6	split_two_tokens_V_then_N
22	聊天	True	见面	Verb-Object	WHOLE	False	和老朋友见面，聊了一整天。	和 老朋友 见面 ， 聊 了 一整天 。	P NN VV PU VV AS NN PU	WHOLE	True	none	2	2	pos_ok
23	说话	True	说话	Verb-Object	SPLIT	False	请你帮我说两句好话。	请 你 帮 我 说 两句 好话 。	VV PN VV PN VV CD NN PU	SPLIT	True	two_tokens	4	6	split_two_tokens_V_then_N
24	吵架	True	吵架	Verb-Object	SPLIT	False	因为一点小事，他们吵了一架。	因为 一点 小事 ， 他们 吵 了 一 架 。	P CD NN PU PN VV AS CD NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
25	打架	True	打架	Verb-Object	SPLIT	False	两只猫在屋顶上打了一架。	两只 猫 在 屋顶 上 打 了 一 架 。	CD NN P NN LC VV AS CD NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
26	打仗	True	打仗	Verb-Object	WHOLE	False	那个年代，整天都在打仗。	那个 年代 ， 整天 都 在 打仗 。	DT NN PU AD AD AD VV PU	WHOLE	True	none	6	6	pos_ok
27	生气	True	生气	Verb-Object	SPLIT	False	别再生他的气了。	别 再生 他 的 气 了 。	AD VV PN DEG NN SP PU	SPLIT	True	two_tokens	1	4	split_two_tokens_V_then_N
28	发火	True	发火	Verb-Object	SPLIT	False	领导在会上发了一通火。	领导 在 会上 发 了 一 通 火 。	NN P NN VV AS CD M NN PU	SPLIT	True	two_tokens	3	7	split_two_tokens_V_then_N
29	道歉	True	道歉	Verb-Object	SPLIT	False	做错事就该给人家道一个歉。	做错事 就 该 给 人家 道 一个 歉 。	VV AD VV P PN VV CD NN PU	SPLIT	True	two_tokens	5	7	split_two_tokens_V_then_N
30	道谢	True	道谢	Verb-Object	SPLIT	False	临走时，他特意向主人道了一声谢。	临走 时 ， 他 特意 向 主人 道 了 一 声 谢 。	VV LC PU PN AD P NN VV AS CD M NN PU	SPLIT	True	two_tokens	7	11	split_two_tokens_V_then_N
31	拜年	True	拜年	Verb-Object	SPLIT	False	大年初一去给长辈拜个年。	大年初一 去 给 长辈 拜 个 年 。	NT VV P NN VV M NN PU	SPLIT	True	two_tokens	4	6	split_two_tokens_V_then_N
32	握手	True	握手	Verb-Object	SPLIT	False	大家见面互相握了一下手。	大家 见面 互相 握 了 一下 手 。	PN VV AD VV AS AD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
32	握手	True	见面	Verb-Object	WHOLE	False	大家见面互相握了一下手。	大家 见面 互相 握 了 一下 手 。	PN VV AD VV AS AD NN PU	WHOLE	True	none	1	1	pos_ok
33	鼓掌	True	鼓掌	Verb-Object	SPLIT	False	观众为精彩的表演鼓了鼓掌。	观众 为 精彩 的 表演 鼓 了 鼓掌 。	NN P VA DEC NN VV AS NN PU	SPLIT	True	two_tokens	5	7	split_two_tokens_V_then_N
33	鼓掌	True	鼓掌	Verb-Object	WHOLE	False	观众为精彩的表演鼓了鼓掌。	观众 为 精彩 的 表演 鼓 了 鼓掌 。	NN P VA DEC NN VV AS NN PU	WHOLE	True	none	7	7	pos_ok
34	捣乱	True	捣乱	Verb-Object	SPLIT	False	别在他工作的时候捣他的乱。	别 在 他 工作 的 时候 捣 他 的 乱 。	AD P PN VV DEC NN VV PN DEG NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
35	开玩笑	True	开玩笑	Verb-Object	SPLIT	False	我只是跟你开了一个玩笑。	我 只是 跟 你 开 了 一个 玩笑 。	PN AD P PN VV AS CD NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
36	撒谎	True	撒谎	Verb-Object	SPLIT	False	他脸红了，显然是撒了一个谎。	他 脸红 了 ， 显然 是 撒 了 一个 谎 。	PN VV SP PU AD VC VV AS CD NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
37	吹牛	True	吹牛	Verb-Object	WHOLE	False	别听他瞎说，他又在吹牛。	别 听 他 瞎说 ， 他 又 在 吹牛 。	AD VV PN VV PU PN AD AD VV PU	WHOLE	True	none	8	8	pos_ok
38	告状	True	告状	Verb-Object	SPLIT	False	他去老师那里告了你一状。	他 去 老师 那里 告 了 你 一 状 。	PN VV NN PN VV AS PN CD NN PU	SPLIT	True	two_tokens	4	8	split_two_tokens_V_then_N
39	请客	True	请客	Verb-Object	SPLIT	False	为了庆祝升职，他请了一次客。	为了 庆祝 升职 ， 他 请 了 一次 客 。	P VV NN PU PN VV AS AD NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
40	结婚	True	结婚	Verb-Object	SPLIT	False	不知道他结没结婚。	不 知道 他 结 没 结婚 。	AD VV PN VV AD VV PU	SPLIT	True	same_token	5	5	split_same_token_fallback_whole_pos
40	结婚	True	结婚	Verb-Object	WHOLE	False	不知道他结没结婚。	不 知道 他 结 没 结婚 。	AD VV PN VV AD VV PU	WHOLE	True	none	5	5	pos_ok
41	离婚	True	离婚	Verb-Object	SPLIT	False	听说邻居离了两次婚。	听说 邻居 离 了 两次 婚 。	VV NN VV AS CD NN PU	SPLIT	True	two_tokens	2	5	split_two_tokens_V_then_N
42	订婚	True	订婚	Verb-Object	SPLIT	False	他们刚刚订完婚。	他们 刚刚 订完 婚 。	PN AD VV NN PU	SPLIT	True	two_tokens	2	3	split_two_tokens_V_then_N
43	恋爱	True	谈恋爱	Verb-Object	SPLIT	False	大学期间谈了一场轰轰烈烈的恋爱。	大学 期间 谈 了 一 场 轰轰烈烈 的 恋爱 。	NN NN VV AS CD M VV DEC NN PU	SPLIT	True	two_tokens	2	8	split_two_tokens_V_then_N
44	分手	True	分手	Verb-Object	SPLIT	False	因为性格不合，他们分了一次手。	因为 性格 不合 ， 他们 分 了 一次 手 。	P NN VV PU PN VV AS AD NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
45	吃醋	True	吃醋	Verb-Object	SPLIT	False	看到男朋友和别人说话，她吃谁的醋？	看到 男朋友 和 别人 说话 ， 她 吃 谁 的 醋 ？	VV NN P PN VV PU PN VV PN DEG NN PU	SPLIT	True	two_tokens	7	10	split_two_tokens_V_then_N
45	吃醋	True	说话	Verb-Object	WHOLE	False	看到男朋友和别人说话，她吃谁的醋？	看到 男朋友 和 别人 说话 ， 她 吃 谁 的 醋 ？	VV NN P PN VV PU PN VV PN DEG NN PU	WHOLE	True	none	4	4	pos_ok
46	伤心	True	伤心	Verb-Object	SPLIT	False	这件事真是让他伤透了心。	这 件 事 真是 让 他 伤透 了 心 。	DT M NN AD VV PN VV AS NN PU	SPLIT	True	two_tokens	6	8	split_two_tokens_V_then_N
47	放心	True	放心	Verb-Object	SPLIT	False	你就放一百个心吧。	你 就 放 一百个 心 吧 。	PN AD VV CD NN SP PU	SPLIT	True	two_tokens	2	4	split_two_tokens_V_then_N
48	担心	True	学习	PseudoV-O	WHOLE	False	为了孩子的学习，父母担了一份心。	为了 孩子 的 学习 ， 父母 担 了 一 份 心 。	P NN DEG NN PU NN VV AS CD M NN PU	WHOLE	True	none	3	3	pos_ok
48	担心	True	担心	Verb-Object	SPLIT	False	为了孩子的学习，父母担了一份心。	为了 孩子 的 学习 ， 父母 担 了 一 份 心 。	P NN DEG NN PU NN VV AS CD M NN PU	SPLIT	True	two_tokens	6	10	split_two_tokens_V_then_N
49	灰心	True	灰心	Verb-Object	SPLIT	False	失败了不要紧，千万别灰了心。	失败 了 不要紧 ， 千万 别 灰 了 心 。	VV AS VA PU AD AD VV AS NN PU	SPLIT	True	two_tokens	6	8	split_two_tokens_V_then_N
50	操心	True	操心	Verb-Object	SPLIT	False	为了这个家，由于操碎了心。	为了 这个 家 ， 由于 操碎 了 心 。	P DT NN PU P VV AS NN PU	SPLIT	True	two_tokens	5	7	split_two_tokens_V_then_N
51	动心	True	动心	Verb-Object	SPLIT	False	面对诱惑，很难不动凡心。	面对 诱惑 ， 很难 不 动 凡心 。	VV NN PU AD AD VV NN PU	SPLIT	True	two_tokens	5	6	split_two_tokens_V_then_N
52	上班	True	上班	Verb-Object	SPLIT	False	即使生病了，她还是上了一天班。	即使 生病 了 ， 她 还是 上 了 一天 班 。	CS VV AS PU PN AD VV AS AD NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
52	上班	True	生病	Verb-Object	WHOLE	False	即使生病了，她还是上了一天班。	即使 生病 了 ， 她 还是 上 了 一天 班 。	CS VV AS PU PN AD VV AS AD NN PU	WHOLE	True	none	1	1	pos_ok
53	下班	True	下班	Verb-Object	WHOLE	False	还没下班，老板就走了。	还 没 下班 ， 老板 就 走 了 。	AD AD VV PU NN AD VV SP PU	WHOLE	True	none	2	2	pos_ok
54	上学	True	上学	Verb-Object	SPLIT	False	他在这个城市上了六年学。	他 在 这个 城市 上 了 六年 学 。	PN P DT NN VV AS NT NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
55	上课	True	上课	Verb-Object	SPLIT	False	今天上午上了两节课。	今天 上午 上 了 两节 课 。	NT NT VV AS NT NN PU	SPLIT	True	two_tokens	2	5	split_two_tokens_V_then_N
56	下课	True	下课	Verb-Object	SPLIT	False	下了课我们就去食堂。	下 了 课 我们 就 去 食堂 。	VV AS NN PN AD VV NN PU	SPLIT	True	two_tokens	0	2	split_two_tokens_V_then_N
57	请假	True	请假	Verb-Object	SPLIT	False	身体不舒服，请了三天假。	身体 不 舒服 ， 请 了 三天 假 。	NN AD VA PU VV AS JJ NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
58	放假	True	放假	Verb-Object	SPLIT	False	五一劳动节放了三天假。	五一劳动节 放 了 三天 假 。	NN VV AS JJ NN PU	SPLIT	True	two_tokens	1	4	split_two_tokens_V_then_N
59	考试	True	考试	Verb-Object	SPLIT	False	为了准备考这场试，他通宵复习。	为了 准备 考 这 场 试 ， 他 通宵 复习 。	P VV VV DT M NN PU PN AD VV PU	SPLIT	True	two_tokens	2	5	split_two_tokens_V_then_N
60	毕业	True	毕业	Verb-Object	SPLIT	False	毕了业以后打算去哪里？	毕 了 业 以后 打算 去 哪里 ？	VV AS NN LC VV VV PN PU	SPLIT	True	two_tokens	0	2	split_two_tokens_V_then_N
61	留学	True	留学	Verb-Object	SPLIT	False	他在英国留了三年学。	他 在 英国 留 了 三年 学 。	PN P NR VV AS JJ NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
62	报名	True	报名	Verb-Object	SPLIT	False	想参加比赛，得先报一个名。	想 参加 比赛 ， 得 先 报 一个 名 。	VV VV NN PU VV AD VV CD NN PU	SPLIT	True	two_tokens	6	8	split_two_tokens_V_then_N
63	辞职	True	辞职	Verb-Object	SPLIT	False	受不了老板的脾气，他辞了职。	受不了 老板 的 脾气 ， 他 辞 了 职 。	VV NN DEG NN PU PN VV AS NN PU	SPLIT	True	two_tokens	6	8	split_two_tokens_V_then_N
64	开会	True	开会	Verb-Object	SPLIT	False	下午在公司开了一个长会。	下午 在 公司 开 了 一个 长会 。	NT P NN VV AS CD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
65	发言	True	发言	Verb-Object	SPLIT	False	作为代表，他在会上发了一次言。	作为 代表 ， 他 在 会上 发 了 一次 言 。	P NN PU PN P NN VV AS CD NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
66	值班	True	上班	Verb-Object	SPLIT	False	昨天晚上轮到我值了一个夜班。	昨天 晚上 轮到 我 值 了 一个 夜班 。	NT NT VV PN VV AS CD NN PU	SPLIT	False	none	1	7	split_candidates_all_failed_pos
66	值班	True	值班	Verb-Object	SPLIT	False	昨天晚上轮到我值了一个夜班。	昨天 晚上 轮到 我 值 了 一个 夜班 。	NT NT VV PN VV AS CD NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
67	加班	True	加班	Verb-Object	SPLIT	False	项目上线前，大家加了三个小时班。	项目 上线 前 ， 大家 加 了 三个小时 班 。	NN VV LC PU PN VV AS NN NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
68	出差	True	出差	Verb-Object	SPLIT	False	下周要去上海出了一趟差。	下周 要 去 上海 出 了 一 趟 差 。	NT VV VV NR VV AS CD M NN PU	SPLIT	True	two_tokens	4	8	split_two_tokens_V_then_N
69	生病	True	生病	Verb-Object	SPLIT	False	去年冬天生了一场大病。	去年冬天 生 了 一 场 大 病 。	NT VV AS CD M JJ NN PU	SPLIT	True	two_tokens	1	6	split_two_tokens_V_then_N
70	看病	True	挂号	Verb-Object	WHOLE	False	去医院挂号看个病真难。	去 医院 挂号 看 个 病 真 难 。	VV NN VV VV AS NN AD VA PU	WHOLE	True	none	2	2	pos_ok
70	看病	True	看病	Verb-Object	SPLIT	False	去医院挂号看个病真难。	去 医院 挂号 看 个 病 真 难 。	VV NN VV VV AS NN AD VA PU	SPLIT	True	two_tokens	3	5	split_two_tokens_V_then_N
71	住院	True	住院	Verb-Object	SPLIT	False	因为骨折，他在医院住了半个月院。	因为 骨折 ， 他 在 医院 住 了 半个月 院 。	P NN PU PN P NN VV AS CD NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
72	出院	True	出院	Verb-Object	WHOLE	False	办完出院手续就可以回家了。	办完 出院 手续 就 可以 回家 了 。	VV NN NN AD VV VV SP PU	WHOLE	True	none	1	1	pos_ok
72	出院	True	回家	Verb-Object	WHOLE	False	办完出院手续就可以回家了。	办完 出院 手续 就 可以 回家 了 。	VV NN NN AD VV VV SP PU	WHOLE	True	none	5	5	pos_ok
73	打针	True	打针	Verb-Object	SPLIT	False	护士轻轻地给他打了一针。	护士 轻轻 地 给 他 打 了 一 针 。	NN AD DEV P PN VV AS CD M PU	SPLIT	False	none	5	8	split_candidates_all_failed_pos
74	输液	True	输液	Verb-Object	SPLIT	False	发烧不退，只能去输了两瓶液。	发烧 不 退 ， 只能 去 输 了 两瓶 液 。	VV AD VV PU AD VV VV AS CD NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
75	挂号	True	挂号	Verb-Object	SPLIT	False	好不容易挂了一个专家号。	好不容易 挂 了 一个 专家 号 。	AD VV AS CD NN NN PU	SPLIT	True	two_tokens	1	5	split_two_tokens_V_then_N
76	把脉	True	把脉	Verb-Object	SPLIT	True	老中医给他把了把脉。	老 中医 给 他 把 了 把 脉 。	JJ NN P PN VV AS VV NN PU	REDUP	True	two_tokens	4	7	redup_from_hfst
77	减肥	True	减肥	Verb-Object	SPLIT	False	坚持运动，终于减了十斤肥。	坚持 运动 ， 终于 减 了 十斤 肥 。	VV NN PU AD VV AS CD NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
78	鞠躬	True	鞠躬	Verb-Object	SPLIT	False	表演结束，演员向观众鞠了一个躬。	表演 结束 ， 演员 向 观众 鞠 了 一个 躬 。	NN VV PU NN P NN VV AS CD NN PU	SPLIT	True	two_tokens	6	9	split_two_tokens_V_then_N
79	敬礼	True	敬礼	Verb-Object	SPLIT	False	士兵向国旗敬了一个礼。	士兵 向 国旗 敬 了 一个 礼 。	NN P NN VV AS CD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
80	站岗	True	站岗	Verb-Object	SPLIT	False	无论风雨，都要站好这一班岗。	无论 风雨 ， 都 要 站好 这 一 班 岗 。	AD NN PU AD VV VV DT CD M NN PU	SPLIT	True	two_tokens	5	9	split_two_tokens_V_then_N
81	吃苦	True	吃苦	Verb-Object	SPLIT	False	年轻的时候多吃一点苦没关系。	年轻 的 时候 多 吃 一点 苦 没关系 。	VA DEC NN AD VV CD NN VV PU	SPLIT	True	two_tokens	4	6	split_two_tokens_V_then_N
82	吃亏	True	吃亏	Verb-Object	SPLIT	False	虽然吃了个大亏，但也长了记性。	虽然 吃 了 个 大 亏 ， 但 也 长 了 记性 。	CS VV AS M JJ NN PU AD AD VV AS NN PU	SPLIT	True	two_tokens	1	5	split_two_tokens_V_then_N
83	受罪	True	受罪	Verb-Object	SPLIT	False	这趟旅行简直是花钱受了老大的罪。	这 趟 旅行 简直 是 花钱 受 了 老大 的 罪 。	DT M NN AD VC VV VV AS NN DEG NN PU	SPLIT	True	two_tokens	6	10	split_two_tokens_V_then_N
84	跳舞	True	跳舞	Verb-Object	SPLIT	False	她在晚会上跳了一支优美的舞。	她 在 晚会 上 跳 了 一 支 优美 的 舞 。	PN P NN LC VV AS CD M VA DEC NN PU	SPLIT	True	two_tokens	4	10	split_two_tokens_V_then_N
85	唱歌	True	唱歌	Verb-Object	SPLIT	False	高兴的时候就唱了一首歌。	高兴 的 时候 就 唱 了 一 首 歌 。	VA DEC NN AD VV AS CD M NN PU	SPLIT	True	two_tokens	4	8	split_two_tokens_V_then_N
86	游泳	True	游泳	Verb-Object	SPLIT	False	夏天去海边游了一次泳。	夏天 去 海边 游 了 一次 泳 。	NT VV NN VV AS AD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
87	划船	True	划船	Verb-Object	SPLIT	False	我们在湖上划了一会儿船。	我们 在 湖 上 划 了 一会儿 船 。	PN P NN LC VV AS AD NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
88	钓鱼	True	钓鱼	Verb-Object	SPLIT	False	周末去水库钓了一天鱼。	周末 去 水库 钓 了 一天 鱼 。	NT VV NN VV AS AD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
89	滑冰	True	滑冰	Verb-Object	SPLIT	False	冬天去什刹海滑了一次冰。	冬天 去 什刹海 滑 了 一次 冰 。	NT VV NR VV AS AD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
90	签名	True	签名	Verb-Object	SPLIT	False	明星给粉丝签了一个名。	明星 给 粉丝 签 了 一个 名 。	NN P NN VV AS CD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
91	排队	True	排队	Verb-Object	SPLIT	False	买网红奶茶排了半天队。	买 网红 奶茶 排 了 半天 队 。	VV NR NR VV AS AD NN PU	SPLIT	True	two_tokens	3	6	split_two_tokens_V_then_N
92	打工	True	打工	Verb-Object	SPLIT	False	辛苦打了一辈子工，终于退休了。	辛苦 打 了 一辈子 工 ， 终于 退休 了 。	AD VV AS NN NN PU AD VV AS PU	SPLIT	True	two_tokens	1	4	split_two_tokens_V_then_N
92	打工	True	退休	Verb-Object	WHOLE	False	辛苦打了一辈子工，终于退休了。	辛苦 打 了 一辈子 工 ， 终于 退休 了 。	AD VV AS NN NN PU AD VV AS PU	WHOLE	True	none	7	7	pos_ok
93	戒烟	True	戒烟	Verb-Object	SPLIT	False	为了健康，他彻底戒了烟。	为了 健康 ， 他 彻底 戒 了 烟 。	P NN PU PN AD VV AS NN PU	SPLIT	True	two_tokens	5	7	split_two_tokens_V_then_N
94	回家	True	回家	Verb-Object	SPLIT	False	春节一定要回了一趟家。	春节 一定 要 回 了 一 趟 家 。	NT AD VV VV AS CD M NN PU	SPLIT	True	two_tokens	3	7	split_two_tokens_V_then_N
95	死心	True	死心	Verb-Object	SPLIT	False	既然不可能，你就死了这条心吧。	既然 不可能 ， 你 就 死 了 这 条 心 吧 。	CS VV PU PN AD VV AS DT M NN SP PU	SPLIT	True	two_tokens	5	9	split_two_tokens_V_then_N
96	挑水	True	挑水	Verb-Object	SPLIT	False	和尚下山挑了一担水。	和尚 下山 挑 了 一 担 水 。	NR VV VV AS CD M NN PU	SPLIT	True	two_tokens	2	6	split_two_tokens_V_then_N
97	受伤	True	受伤	Verb-Object	SPLIT	False	他在比赛中受了很重的伤。	他 在 比赛 中 受 了 很 重 的 伤 。	PN P NN LC VV AS AD VA DEC NN PU	SPLIT	True	two_tokens	4	9	split_two_tokens_V_then_N
98	散心	True	散心	Verb-Object	SPLIT	True	心情不好，出去散散心。	心情 不好 ， 出去 散散心 。	NN VV PU VV VV PU	REDUP	True	same_token	4	4	redup_from_hfst
99	扫兴	True	扫兴	Verb-Object	SPLIT	False	突然下雨，真是扫了大家的兴。	突然 下雨 ， 真是 扫 了 大家 的 兴 。	AD VV PU AD VV AS PN DEG NN PU	SPLIT	True	two_tokens	4	8	split_two_tokens_V_then_N
100	领情	True	领情	Verb-Object	SPLIT	False	我好心帮你，你却不领我的情。	我 好心 帮 你 ， 你 却 不 领 我 的 情 。	PN AD VV PN PU PN AD AD VV PN DEG NN PU	SPLIT	True	two_tokens	8	11	split_two_tokens_V_then_N
101	送礼	True	送礼	Verb-Object	SPLIT	False	过节去亲戚家送了一份厚礼。	过节 去 亲戚家 送 了 一 份 厚礼 。	VV VV NN VV AS CD M NN PU	SPLIT	True	two_tokens	3	7	split_two_tokens_V_then_N
102	拌嘴	True	吵架	Verb-Object	WHOLE	False	小两口经常拌几句嘴，床头吵架床尾和。	小两口 经常 拌 几句 嘴 ， 床头 吵架 床尾 和 。	NN AD VV CD NN PU NN VV NN VV PU	WHOLE	True	none	7	7	pos_ok
102	拌嘴	True	拌嘴	Verb-Object	SPLIT	False	小两口经常拌几句嘴，床头吵架床尾和。	小两口 经常 拌 几句 嘴 ， 床头 吵架 床尾 和 。	NN AD VV CD NN PU NN VV NN VV PU	SPLIT	True	two_tokens	2	4	split_two_tokens_V_then_N
103	叹气	True	叹气	Verb-Object	SPLIT	False	遇到困难，他无奈地叹了一口气。	遇到 困难 ， 他 无奈 地 叹 了 一口气 。	VV NN PU PN VA DEV VV AS NN PU	SPLIT	True	two_tokens	6	8	split_two_tokens_V_then_N
104	丢脸	True	丢脸	Verb-Object	SPLIT	False	在这么多人面前摔倒，真是丢尽了脸。	在 这么 多 人 面前 摔倒 ， 真是 丢尽 了 脸 。	P AD CD NN LC VV PU AD VV AS NN PU	SPLIT	True	two_tokens	8	10	split_two_tokens_V_then_N
