sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score	tokens_pos	head_token_idx	tail_token_idx	head_pos	tail_pos	pos_pattern	pos_validation
36	开玩笑	True		我只是跟你开了一个玩笑。	开玩笑	Verb-Object	SPLIT	开	玩笑	开玩笑+Lemma+Verb-Object+SPLIT+Head:开+Tail:玩笑	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0	我/PN 只是/AD 跟/P 你/PN 开/VV 了/AS 一个/CD 玩笑/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
37	撒谎	True		他脸红了，显然是撒了一个谎。	撒谎	Verb-Object	SPLIT	撒	谎	撒谎+Lemma+Verb-Object+SPLIT+Head:撒+Tail:谎	了ASPECT一NUM个CLF	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		1.0	他/PN 脸红/VV 了/SP ，/PU 显然/AD 是/VC 撒/VV 了/AS 一个/CD 谎/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
38	吹牛	True		别听他瞎说，他又在吹牛。	吹牛	Verb-Object	WHOLE	吹	牛	吹牛+Lemma+Verb-Object+WHOLE+Head:吹+Tail:牛			EMPTY		0.5	别/AD 听/VV 他/PN 瞎说/VV ，/PU 他/PN 又/AD 在/AD 吹牛/VV 。/PU	8	8	VV	VV	same_token	pos_valid
39	告状	True		他去老师那里告了你一状。	告状	Verb-Object	SPLIT	告	状	告状+Lemma+Verb-Object+SPLIT+Head:告+Tail:状	了ASPECT你PRO一NUM	了:ASPECT+你:PRO+一:NUM	ASPECT		1.0	他/PN 去/VV 老师/NN 那里/PN 告/VV 了/AS 你/PN 一/CD 状/NN 。/PU	4	8	VV	NN	separate_tokens	pos_valid
40	请客	True		为了庆祝升职，他请了一次客。	请客	Verb-Object	SPLIT	请	客	请客+Lemma+Verb-Object+SPLIT+Head:请+Tail:客	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0	为了/P 庆祝/VV 升职/NN ，/PU 他/PN 请/VV 了/AS 一次/AD 客/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
42	离婚	True		听说邻居离了两次婚。	离婚	Verb-Object	SPLIT	离	婚	离婚+Lemma+Verb-Object+SPLIT+Head:离+Tail:婚	了ASPECT两NUM次CLF	了:ASPECT+两:NUM+次:CLF	ASPECT_QUANT		1.0	听说/VV 邻居/NN 离/VV 了/AS 两次/CD 婚/NN 。/PU	2	5	VV	NN	separate_tokens	pos_valid
43	订婚	True		他们刚刚订完婚。	订婚	Verb-Object	SPLIT	订	婚	订婚+Lemma+Verb-Object+SPLIT+Head:订+Tail:婚	完RES	完:RES	RESULTATIVE		1.0	他们/PN 刚刚/AD 订完/VV 婚/NN 。/PU	2	3	VV	NN	separate_tokens	pos_valid
44	谈恋爱	True		大学期间谈了一场轰轰烈烈的恋爱。	谈恋爱	Verb-Object	SPLIT	谈	恋爱	谈恋爱+Lemma+Verb-Object+SPLIT+Head:谈+Tail:恋爱	了ASPECT一NUM场CLF轰轰烈MOD烈MOD的DE	了:ASPECT+一:NUM+场:CLF+烈:MOD+烈:MOD+的:DE	ASPECT_QUANT		0.75	大学/NN 期间/NN 谈/VV 了/AS 一/CD 场/M 轰轰烈烈/VV 的/DEC 恋爱/NN 。/PU	2	8	VV	NN	separate_tokens	pos_valid
45	分手	True		因为性格不合，他们分了一次手。	分手	Verb-Object	SPLIT	分	手	分手+Lemma+Verb-Object+SPLIT+Head:分+Tail:手	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0	因为/P 性格/NN 不合/VV ，/PU 他们/PN 分/VV 了/AS 一次/AD 手/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
46	伤心	True		这件事真是让他伤透了心。	伤心	Verb-Object	SPLIT	伤	心	伤心+Lemma+Verb-Object+SPLIT+Head:伤+Tail:心	透MOD了ASPECT	透:MOD+了:ASPECT	ASPECT		1.0	这/DT 件/M 事/NN 真是/AD 让/VV 他/PN 伤透/VV 了/AS 心/NN 。/PU	6	8	VV	NN	separate_tokens	pos_valid
47	吃醋	True		她到底在吃谁的醋？	吃醋	Verb-Object	SPLIT	吃	醋	吃醋+Lemma+Verb-Object+SPLIT+Head:吃+Tail:醋	谁PRO的DE	谁:PRO+的:DE	PRONOUN_DE		1.0	她/PN 到底/AD 在/AD 吃/VV 谁/PN 的/DEG 醋/NN ？/PU	3	6	VV	NN	separate_tokens	pos_valid
48	放心	True		你就放一百个心吧。	放心	Verb-Object	SPLIT	放	心	放心+Lemma+Verb-Object+SPLIT+Head:放+Tail:心	一NUM百NUM个CLF	一:NUM+百:NUM+个:CLF	QUANTIFIER		1.0	你/PN 就/AD 放/VV 一百个/CD 心/NN 吧/SP 。/PU	2	4	VV	NN	separate_tokens	pos_valid
49	灰心	True		失败了不要紧，千万别灰了心。	灰心	Verb-Object	SPLIT	灰	心	灰心+Lemma+Verb-Object+SPLIT+Head:灰+Tail:心	了ASPECT	了:ASPECT	ASPECT		1.0	失败/VV 了/AS 不要紧/VA ，/PU 千万/AD 别/AD 灰/VV 了/AS 心/NN 。/PU	6	8	VV	NN	separate_tokens	pos_valid
50	操心	True		为了这个家，由于操碎了心。	操心	Verb-Object	SPLIT	操	心	操心+Lemma+Verb-Object+SPLIT+Head:操+Tail:心	碎MOD了ASPECT	碎:MOD+了:ASPECT	ASPECT		1.0	为了/P 这个/DT 家/NN ，/PU 由于/P 操碎/VV 了/AS 心/NN 。/PU	5	7	VV	NN	separate_tokens	pos_valid
51	动心	True		面对诱惑，他动了一点点心。	动心	Verb-Object	SPLIT	动	心	动心+Lemma+Verb-Object+SPLIT+Head:动+Tail:心	了ASPECT一NUM点点	了:ASPECT+一:NUM	ASPECT		0.5	面对/VV 诱惑/NN ，/PU 他/PN 动/VV 了/AS 一点点/CD 心/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
52	上班	True		即使不舒服，她还是上了一天班。	上班	Verb-Object	SPLIT	上	班	上班+Lemma+Verb-Object+SPLIT+Head:上+Tail:班	了ASPECT一NUM天CLF	了:ASPECT+一:NUM+天:CLF	ASPECT_QUANT		1.0	即使/CS 不/AD 舒服/VA ，/PU 她/PN 还是/AD 上/VV 了/AS 一天/AD 班/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
53	下班	True		还没下班，老板就走了。	下班	Verb-Object	WHOLE	下	班	下班+Lemma+Verb-Object+WHOLE+Head:下+Tail:班			EMPTY		0.5	还/AD 没/AD 下班/VV ，/PU 老板/NN 就/AD 走/VV 了/SP 。/PU	2	2	VV	VV	same_token	pos_valid
54	下班	True		下了班之后我们去逛街。	下班	Verb-Object	SPLIT	下	班	下班+Lemma+Verb-Object+SPLIT+Head:下+Tail:班	了ASPECT	了:ASPECT	ASPECT		1.0	下/VV 了/AS 班/NN 之后/LC 我们/PN 去/VV 逛街/VV 。/PU	0	2	VV	NN	separate_tokens	pos_valid
55	上学	True		他在这个城市上了六年学。	上学	Verb-Object	SPLIT	上	学	上学+Lemma+Verb-Object+SPLIT+Head:上+Tail:学	了ASPECT六NUM年CLF	了:ASPECT+六:NUM+年:CLF	ASPECT_QUANT		1.0	他/PN 在/P 这个/DT 城市/NN 上/VV 了/AS 六年/NT 学/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
57	下课	True		下了课我们就去食堂。	下课	Verb-Object	SPLIT	下	课	下课+Lemma+Verb-Object+SPLIT+Head:下+Tail:课	了ASPECT	了:ASPECT	ASPECT		1.0	下/VV 了/AS 课/NN 我们/PN 就/AD 去/VV 食堂/NN 。/PU	0	2	VV	NN	separate_tokens	pos_valid
58	请假	True		身体不舒服，请了三天假。	请假	Verb-Object	SPLIT	请	假	请假+Lemma+Verb-Object+SPLIT+Head:请+Tail:假	了ASPECT三NUM天CLF	了:ASPECT+三:NUM+天:CLF	ASPECT_QUANT		1.0	身体/NN 不/AD 舒服/VA ，/PU 请/VV 了/AS 三天/JJ 假/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
59	放假	True		五一劳动节放了三天假。	放假	Verb-Object	SPLIT	放	假	放假+Lemma+Verb-Object+SPLIT+Head:放+Tail:假	了ASPECT三NUM天CLF	了:ASPECT+三:NUM+天:CLF	ASPECT_QUANT		1.0	五一劳动节/NN 放/VV 了/AS 三天/JJ 假/NN 。/PU	1	4	VV	NN	separate_tokens	pos_valid
60	考试	True		为了准备考这场试，他通宵复习。	考试	Verb-Object	SPLIT	考	试	考试+Lemma+Verb-Object+SPLIT+Head:考+Tail:试	这DEM场CLF	这:DEM+场:CLF	QUANTIFIER		1.0	为了/P 准备/VV 考/VV 这/DT 场/M 试/NN ，/PU 他/PN 通宵/AD 复习/VV 。/PU	2	5	VV	NN	separate_tokens	pos_valid
61	毕业	True		毕了业以后打算去哪里？	毕业	Verb-Object	SPLIT	毕	业	毕业+Lemma+Verb-Object+SPLIT+Head:毕+Tail:业	了ASPECT	了:ASPECT	ASPECT		1.0	毕/VV 了/AS 业/NN 以后/LC 打算/VV 去/VV 哪里/PN ？/PU	0	2	VV	NN	separate_tokens	pos_valid
62	留学	True		他在英国留了三年学。	留学	Verb-Object	SPLIT	留	学	留学+Lemma+Verb-Object+SPLIT+Head:留+Tail:学	了ASPECT三NUM年CLF	了:ASPECT+三:NUM+年:CLF	ASPECT_QUANT		1.0	他/PN 在/P 英国/NR 留/VV 了/AS 三年/JJ 学/NN 。/PU	3	6	VV	NN	separate_tokens	pos_valid
63	报名	True		想参加比赛，得先报一个名。	报名	Verb-Object	SPLIT	报	名	报名+Lemma+Verb-Object+SPLIT+Head:报+Tail:名	一NUM个CLF	一:NUM+个:CLF	QUANTIFIER		1.0	想/VV 参加/VV 比赛/NN ，/PU 得/VV 先/AD 报/VV 一个/CD 名/NN 。/PU	6	8	VV	NN	separate_tokens	pos_valid
64	辞职	True		受不了老板的脾气，他辞了职。	辞职	Verb-Object	SPLIT	辞	职	辞职+Lemma+Verb-Object+SPLIT+Head:辞+Tail:职	了ASPECT	了:ASPECT	ASPECT		1.0	受不了/VV 老板/NN 的/DEG 脾气/NN ，/PU 他/PN 辞/VV 了/AS 职/NN 。/PU	6	8	VV	NN	separate_tokens	pos_valid
65	开会	True		下午在公司开了一个长会。	开会	Verb-Object	SPLIT	开	会	开会+Lemma+Verb-Object+SPLIT+Head:开+Tail:会	了ASPECT一NUM个CLF长MOD	了:ASPECT+一:NUM+个:CLF+长:MOD	ASPECT_QUANT		1.0	下午/NT 在/P 公司/NN 开/VV 了/AS 一个/CD 长会/NN 。/PU	3	6	VV	NN	separate_tokens	pos_valid
66	发言	True		作为代表，他在会上发了一次言。	发言	Verb-Object	SPLIT	发	言	发言+Lemma+Verb-Object+SPLIT+Head:发+Tail:言	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0	作为/P 代表/NN ，/PU 他/PN 在/P 会上/NN 发/VV 了/AS 一次/CD 言/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
67	值班	True		昨天晚上轮到我值了一个夜班。	上班	Verb-Object	SPLIT	上	班	上班+Lemma+Verb-Object+SPLIT+Head:上+Tail:班	轮到RES我PRO值了ASPECT一NUM个CLF夜	到:RES+我:PRO+了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		0.625	昨天/NT 晚上/NT 轮到/VV 我/PN 值/VV 了/AS 一个/CD 夜班/NN 。/PU	1	7	NT	NN	separate_tokens	pos_override_by_confidence:0.62;original:head_pos_invalid:NT
67	值班	True		昨天晚上轮到我值了一个夜班。	值班	Verb-Object	SPLIT	值	班	值班+Lemma+Verb-Object+SPLIT+Head:值+Tail:班	了ASPECT一NUM个CLF夜	了:ASPECT+一:NUM+个:CLF	ASPECT_QUANT		0.75	昨天/NT 晚上/NT 轮到/VV 我/PN 值/VV 了/AS 一个/CD 夜班/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
68	加班	True		项目上线前，大家加了三个小时班。	加班	Verb-Object	SPLIT	加	班	加班+Lemma+Verb-Object+SPLIT+Head:加+Tail:班	了ASPECT三NUM个CLF小MOD时TIME	了:ASPECT+三:NUM+个:CLF+小:MOD+时:TIME	ASPECT_QUANT		1.0	项目/NN 上线/VV 前/LC ，/PU 大家/PN 加/VV 了/AS 三个小时/NN 班/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
69	出差	True		下周要去上海出了一趟差。	出差	Verb-Object	SPLIT	出	差	出差+Lemma+Verb-Object+SPLIT+Head:出+Tail:差	了ASPECT一NUM趟CLF	了:ASPECT+一:NUM+趟:CLF	ASPECT_QUANT		1.0	下周/NT 要/VV 去/VV 上海/NR 出/VV 了/AS 一/CD 趟/M 差/NN 。/PU	4	8	VV	NN	separate_tokens	pos_valid
70	生病	True		去年冬天生了一场大病。	生病	Verb-Object	SPLIT	生	病	生病+Lemma+Verb-Object+SPLIT+Head:生+Tail:病	了ASPECT一NUM场CLF大MOD	了:ASPECT+一:NUM+场:CLF+大:MOD	ASPECT_QUANT		1.0	去年冬天/NT 生/VV 了/AS 一/CD 场/M 大/JJ 病/NN 。/PU	1	6	VV	NN	separate_tokens	pos_valid
71	住院	True		因为骨折，他在医院住了半个月院。	住院	Verb-Object	SPLIT	住	院	住院+Lemma+Verb-Object+SPLIT+Head:住+Tail:院	了ASPECT半NUM个CLF月CLF	了:ASPECT+半:NUM+个:CLF+月:CLF	ASPECT_QUANT		1.0	因为/P 骨折/NN ，/PU 他/PN 在/P 医院/NN 住/VV 了/AS 半个月/CD 院/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
