Lemma,A,B,Type,Pinyin,English Definition,Notes
唱歌,唱,歌,Verb-Object,chàng gē,to sing,唱了一首歌
游泳,游,泳,Verb-Object,yóu yǒng,to swim,游了一次泳
划船,划,船,Verb-Object,huá chuán,to row a boat,划了一会儿船
钓鱼,钓,鱼,Verb-Object,diào yú,to fish,钓了一天鱼
滑冰,滑,冰,Verb-Object,huá bīng,to ice skate,滑了一次冰
签名,签,名,Verb-Object,qiān míng,to sign name,签了一个名
排队,排,队,Verb-Object,pái duì,to queue up,排了半天队
打工,打,工,Verb-Object,dǎ gōng,to work part-time,打了一辈子工
戒烟,戒,烟,Verb-Object,jiè yān,to quit smoking,戒了烟
回家,回,家,Verb-Object,huí jiā,to go home,回了一趟家
死心,死,心,Verb-Object,sǐ xīn,to give up hope,死了这条心
挑水,挑,水,Verb-Object,tiāo shuǐ,to carry water,挑了一担水
受伤,受,伤,Verb-Object,shòu shāng,to be injured,受了很重的伤
散心,散,心,Verb-Object,sàn xīn,to relax/unwind,散散心(AAB)
扫兴,扫,兴,Verb-Object,sǎo xìng,disappointing,扫了大家的兴
领情,领,情,Verb-Object,lǐng qíng,to appreciate kindness,领你的情
送礼,送,礼,Verb-Object,sòng lǐ,to give a gift,送了一份厚礼
拌嘴,拌,嘴,Verb-Object,bàn zuǐ,to bicker / quarrel,拌了几句嘴
叹气,叹,气,Verb-Object,tàn qì,to sigh,叹了一口气
丢脸,丢,脸,Verb-Object,diū liǎn,to lose face,丢尽了脸
接吻,接,吻,Verb-Object,jiē wěn,to kiss,接了个吻
受骗,受,骗,Verb-Object,shòu piàn,to be deceived,受了一次骗
挨批,挨,批,Verb-Object,ái pī,to be criticized,挨了一顿批
干杯,干,杯,Verb-Object,gān bēi,to toast / cheers,干了这杯
革命,革,命,Verb-Object,gé mìng,to revolutionize,革了谁的命
造反,造,反,Verb-Object,zào fǎn,to rebel,造谁的反
退休,退,休,Verb-Object,tuì xiū,to retire,退了休
出事,出,事,Verb-Object,chū shì,to have an accident,出了点事
把关,把,关,Verb-Object,bǎ guān,to check / guard a pass,把好关
施肥,施,肥,Verb-Object,shī féi,to fertilize,施了一遍肥
倒霉,倒,霉,Verb-Object,dǎo méi,to have bad luck,倒了大霉
敲门，敲,门,Verb-Object,qiao men,to knock on the door,敲了敲门
下雨,下,雨,Verb-Object,xià yǔ,to rain,下了一场雨
开枪，开,枪,Verb-Object,kāi qiāng,to shoot,开了一枪
提醒,提,醒,Pseudo V-O,tí xǐng,to remind,提了个醒
出恭,出,恭,Pseudo V-O,chū gōng,to defecate (polite),出了一次恭
将军,将,军,Pseudo V-O,jiāng jūn,checkmate,将了一军
学习,学,习,Pseudo V-O,xué xí,to study,学个习;学不了一点习
小便,小,便,Modifier-Head,xiǎo biàn,to urinate,小了一次便
大便,大,便,Modifier-Head,dà biàn,to defecate,大了一次便
军训,军,训,Modifier-Head,jūn xùn,military training,军完了训
体检,体,检,Modifier-Head,tǐ jiǎn,physical examination,体了个检
同学,同,学,Modifier-Head,tóng xué,to be classmates / study together,同过三年学
慷慨,慷,慨,Simplex Word,kāng kǎi,generous,慷他人之慨(Adjectival split)
幽默,幽,默,Simplex Word,yōu mò,humor,幽了一默 (Transliteration split)
滑稽,滑,稽,Simplex Word,huá jī,funny / comical,滑天下之大稽 (Classic idiom)
